id,store_id,name,sku,description,buy_price,fbuy_price,sell_price,sell_price_pos,fsell_price,fsell_price_pos,market_price,fmarket_price,comission,fcomission,loyalty_points,require_shipping,weight,min_order,max_order,non_taxable,track_inventory,stock_qty,low_stock_alert,accept_preorder,is_out_stock,published,published_date,fpublished_date,pos_sell_price_dynamic,pos_hidden,meta_keywords,meta_description,photo,photo_md,photo_xs,photo_width,photo_height,reviewer_rating,reviewer_total,viewed,viewed_time,copy_product_combo_id,status
267390,188333,Paket Newport Red + Singaraja 330ml [Promo Juni],,,0.00,IDR 0,105000.00,105000.00,IDR 105.000,IDR 105.000,105000.00,IDR 105.000,0.00,IDR 0,0.00,0,0.0000,1,0,0,0,0,0,0,1,1,2025-06-07,07-Jun-2025,0,0,,,68451d8e6d0fa.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68451d8e6d0fa.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_68451d8e6d0fa.png,1024,1359,0.0000,0,0,,,A
267391,188333,Paket 2 Magnus Balon [Promo Juni],,,0.00,IDR 0,165000.00,165000.00,IDR 165.000,IDR 165.000,165000.00,IDR 165.000,0.00,IDR 0,0.00,0,0.0000,1,0,0,0,0,0,0,1,1,2025-06-07,07-Jun-2025,0,0,,,68451d7054e47.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68451d7054e47.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_68451d7054e47.png,1024,1248,0.0000,0,0,,,A
267392,188333,Paket 2 Magnus Peachee [Promo Juni],,,0.00,IDR 0,165000.00,165000.00,IDR 165.000,IDR 165.000,165000.00,IDR 165.000,0.00,IDR 0,0.00,0,0.0000,1,0,0,0,0,0,0,1,1,2025-06-07,07-Jun-2025,0,0,,,68451d614f0da.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68451d614f0da.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_68451d614f0da.png,1024,1248,0.0000,0,0,,,A
267393,188333,Paket 2 Magnus Bluestraw [Promo Juni],,,0.00,IDR 0,165000.00,165000.00,IDR 165.000,IDR 165.000,165000.00,IDR 165.000,0.00,IDR 0,0.00,0,0.0000,1,0,0,0,0,0,0,1,1,2025-06-07,07-Jun-2025,0,0,,,68451d5417358.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68451d5417358.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_68451d5417358.png,1024,1248,0.0000,0,0,,,A
267394,188333,Paket 2 Magnus MIX [Peachee Bluestraw] [Promo Juni],,,0.00,IDR 0,165000.00,165000.00,IDR 165.000,IDR 165.000,165000.00,IDR 165.000,0.00,IDR 0,0.00,0,0.0000,1,0,0,0,0,0,0,1,1,2025-06-05,05-Jun-2025,0,0,,,68451d443bf1e.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68451d443bf1e.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_68451d443bf1e.png,1024,1248,0.0000,0,0,,,A
267395,188333,Paket Rockstar Black Tea [Promo Juni],,,0.00,IDR 0,247000.00,247000.00,IDR 247.000,IDR 247.000,247000.00,IDR 247.000,0.00,IDR 0,0.00,0,0.0000,1,0,0,0,0,0,0,1,1,2025-06-07,07-Jun-2025,0,0,,,68451d08af527.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68451d08af527.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_68451d08af527.png,1024,1293,0.0000,0,0,,,A
267396,188333,Paket Rockstar Tripe Sec [Promo Juni],,,0.00,IDR 0,247000.00,247000.00,IDR 247.000,IDR 247.000,247000.00,IDR 247.000,0.00,IDR 0,0.00,0,0.0000,1,0,0,0,0,0,0,1,1,2025-06-07,07-Jun-2025,0,0,,,68451cfb4dbf0.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68451cfb4dbf0.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_68451cfb4dbf0.png,1024,1293,0.0000,0,0,,,A
267397,188333,Paket Kawa Blackcurrant + Bintang Pilsener 620ml [Promo Juni],,,0.00,IDR 0,130000.00,130000.00,IDR 130.000,IDR 130.000,130000.00,IDR 130.000,0.00,IDR 0,0.00,0,0.0000,1,0,0,0,0,0,0,1,1,2025-06-07,07-Jun-2025,0,0,,,68459501c03a3.jpeg,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68459501c03a3.jpeg,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_68459501c03a3.jpeg,1024,1964,0.0000,0,0,,,A
267398,188333,Paket Kawa Blackcurrant + Draft Beer [Promo Juni],,,0.00,IDR 0,108000.00,108000.00,IDR 108.000,IDR 108.000,108000.00,IDR 108.000,0.00,IDR 0,0.00,0,0.0000,1,0,0,0,0,0,0,1,1,2025-06-07,07-Jun-2025,0,0,,,6845951c4a246.jpeg,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_6845951c4a246.jpeg,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_6845951c4a246.jpeg,1024,940,0.0000,0,0,,,A
267399,188333,Paket Kawa Blackcurrant + Singaraja 620ml [Promo Juni],,,0.00,IDR 0,113000.00,113000.00,IDR 113.000,IDR 113.000,113000.00,IDR 113.000,0.00,IDR 0,0.00,0,0.0000,1,0,0,0,0,0,0,1,1,2025-06-07,07-Jun-2025,0,0,,,6845953d59c58.jpeg,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_6845953d59c58.jpeg,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_6845953d59c58.jpeg,1024,2240,0.0000,0,0,,,A
